[2026-01-14 15:21:06,383: INFO: main: welcom to custom  log ]
[2026-01-15 10:55:11,466: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-01-15 10:58:28,628: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-01-15 10:58:28,643: INFO: common: YAML file loaded successfully: params.yaml]
[2026-01-15 10:58:33,877: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-01-15 10:58:33,880: INFO: common: YAML file loaded successfully: params.yaml]
[2026-01-15 11:00:45,174: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-01-15 11:00:45,177: INFO: common: YAML file loaded successfully: params.yaml]
[2026-01-15 11:18:02,803: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-01-15 11:18:02,807: INFO: common: YAML file loaded successfully: params.yaml]
[2026-01-15 11:18:13,813: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-01-15 11:18:13,814: INFO: common: YAML file loaded successfully: params.yaml]
[2026-01-15 11:18:52,944: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-01-15 11:18:52,946: INFO: common: YAML file loaded successfully: params.yaml]
[2026-01-15 11:21:49,195: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-01-15 11:21:49,196: INFO: common: YAML file loaded successfully: params.yaml]
[2026-01-15 18:28:37,302: ERROR: common: Error reading YAML file: [Errno 2] No such file or directory: 'config\\config.yaml']
[2026-01-15 19:16:54,292: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-01-15 19:16:54,330: INFO: common: YAML file loaded successfully: params.yaml]
[2026-01-15 19:21:01,545: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-01-15 19:21:01,548: INFO: common: YAML file loaded successfully: params.yaml]
[2026-01-15 19:21:01,550: INFO: common: created directory at: artifacts]
[2026-01-15 19:21:01,552: INFO: common: created directory at: artifacts/data_ingestion]
[2026-01-15 19:31:35,219: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-01-15 19:31:35,220: INFO: common: YAML file loaded successfully: params.yaml]
[2026-01-15 19:31:35,221: INFO: common: created directory at: artifacts]
[2026-01-15 19:31:35,222: INFO: common: created directory at: artifacts/data_ingestion]
[2026-01-15 19:32:03,781: INFO: common: YAML file loaded successfully: config\config.yaml]
